source,target,weight
Allerton/Pelham Gardens,Allerton/Pelham Gardens,32
Allerton/Pelham Gardens,Astoria,1
Allerton/Pelham Gardens,Bedford Park,17
Allerton/Pelham Gardens,Belmont,9
Allerton/Pelham Gardens,Bronxdale,19
Allerton/Pelham Gardens,Brownsville,1
Allerton/Pelham Gardens,Central Harlem North,2
Allerton/Pelham Gardens,Chinatown,1
Allerton/Pelham Gardens,City Island,1
Allerton/Pelham Gardens,Claremont/Bathgate,3
Allerton/Pelham Gardens,Co-Op City,34
Allerton/Pelham Gardens,Country Club,1
Allerton/Pelham Gardens,Crotona Park,1
Allerton/Pelham Gardens,Crotona Park East,3
Allerton/Pelham Gardens,East Concourse/Concourse Village,3
Allerton/Pelham Gardens,East Elmhurst,1
Allerton/Pelham Gardens,East Tremont,5
Allerton/Pelham Gardens,Eastchester,24
Allerton/Pelham Gardens,Fordham South,4
Allerton/Pelham Gardens,Forest Hills,1
Allerton/Pelham Gardens,Garment District,1
Allerton/Pelham Gardens,Greenpoint,1
Allerton/Pelham Gardens,Hamilton Heights,1
Allerton/Pelham Gardens,Highbridge,3
Allerton/Pelham Gardens,Hunts Point,4
Allerton/Pelham Gardens,Inwood,4
Allerton/Pelham Gardens,JFK Airport,4
Allerton/Pelham Gardens,Jamaica,1
Allerton/Pelham Gardens,Kingsbridge Heights,5
Allerton/Pelham Gardens,LaGuardia Airport,4
Allerton/Pelham Gardens,Lenox Hill West,2
Allerton/Pelham Gardens,Long Island City/Queens Plaza,1
Allerton/Pelham Gardens,Longwood,3
Allerton/Pelham Gardens,Manhattanville,2
Allerton/Pelham Gardens,Marble Hill,1
Allerton/Pelham Gardens,Melrose South,1
Allerton/Pelham Gardens,Middle Village,1
Allerton/Pelham Gardens,Midtown South,1
Allerton/Pelham Gardens,Morningside Heights,1
Allerton/Pelham Gardens,Mott Haven/Port Morris,5
Allerton/Pelham Gardens,Mount Hope,4
Allerton/Pelham Gardens,Murray Hill,1
Allerton/Pelham Gardens,Norwood,13
Allerton/Pelham Gardens,Outside of NYC,16
Allerton/Pelham Gardens,Parkchester,3
Allerton/Pelham Gardens,Pelham Bay,3
Allerton/Pelham Gardens,Pelham Bay Park,1
Allerton/Pelham Gardens,Pelham Parkway,12
Allerton/Pelham Gardens,Penn Station/Madison Sq West,1
